,Sponsor (Primary),Sponsor (Alternative),Requested Item / Part Family,Manufacturer Part Number (Primary),Full Product Name (Primary),Link to Official Datasheet (Primary),Manufacturer Part Number (Alternative),Full Product Name (Alternative),Link to Official Datasheet (Alternative),Notes,Quantity
0,WAGO,Phoenix Contact,"DIN relay module, 24 VDC coil, interposing, with flyback/suppressor",857-304,"WAGO 857-304 Relay Module, 24 VDC coil, 1 C/O, 6 A, 6 mm",https://www.wago.com/ca-en/relay-and-optocoupler-modules/relay-module/p/857-304,2903334,"Phoenix Contact RIF-1-RPT-LDP-24DC/2X21 Relay Module, 24 VDC coil, with freewheeling diode",https://www.phoenixcontact.com/en-us/products/relay-module-rif-1-rpt-ldp-24dc2x21-2903334,"Phoenix Contact module includes integrated freewheeling diode (flyback). For WAGO, add external surge suppression if required by load.",7
1,WAGO,Phoenix Contact,"DIN relay module, 24 VDC coil, interposing, with flyback/suppressor",788-312,"WAGO 788-312 Relay Module, 24 VDC coil, 2 C/O, 8 A, 15 mm",https://www.wago.com/us/relays-optocouplers/relay-module/p/788-312,2909884,"Phoenix Contact RIF-1-RPT-LDP-24DC/1IC Relay Module, 24 VDC coil, with freewheeling diode",https://www.phoenixcontact.com/en-pc/products/relay-module-rif-1-rpt-ldp-24dc-1ic-2909884,Use this 15 mm DPDT relay if you need two changeover contacts. Phoenix modules include diode suppression.,7
2,WAGO,Phoenix Contact,Terminal blocks / lever splices for sensor wiring,221-413,"WAGO 221-413 Splicing Connector, 3-conductor LEVER-NUTS®",https://www.wago.com/us/lp-221,"PTIO 1,5/S/3-3,5 (example family)","Phoenix Contact PTIO Sensor/Actuator Terminal Block, 3.5 mm pitch (example)",https://www.phoenixcontact.com/en-us/products/terminal-blocks/sensor-terminal-blocks-and-actuator-terminal-blocks,"Choose 221-412 (2-conductor) or 221-415 (5-conductor) as needed. For Phoenix, select exact PTIO variant to match poles and wire size.",3
3,WAGO,Phoenix Contact,Fuse terminal block + interposing relay for fan power,282-122 + 788-312,WAGO 282-122 5x20 mm Fuse Terminal + WAGO 788-312 Relay Module,https://www.wago.com/ca-en/rail-mount-terminal-blocks/2-conductor-fuse-terminal-block/p/282-122,3025042 + 2903334,Phoenix Contact PT 6-DREHSI (5x20) Fuse Terminal + RIF-1-RPT-LDP-24DC/2X21 Relay,https://www.phoenixcontact.com/en-us/products/fuse-terminal-block-pt-6-drehsi-5x20-3025042,Both fuse terminals accept 5x20 mm fuses for inline protection; pair with 24 VDC interposing relay. Add surge suppression for inductive loads.,2
4,WAGO,Phoenix Contact,Relay module for solenoid coil + surge suppression,857-304 + 792-802,WAGO 857-304 Relay Module + 792-802 Surge Suppression Module (24 VDC),https://www.wago.com/global/overvoltage-protection/overvoltage-protection-in-rail-mounted-terminal-block/p/792-802,2903334,Phoenix Contact RIF-1-RPT-LDP-24DC/2X21 with integrated freewheeling diode,https://www.phoenixcontact.com/en-us/products/relay-module-rif-1-rpt-ldp-24dc2x21-2903334,"For WAGO, pair the relay with a 24 VDC surge suppressor to protect the solenoid and contacts; Phoenix part integrates the diode.",1
5,Phoenix Contact,WAGO,Terminal blocks / cordsets as applicable; DIN PSU optional,SAC-5P-M12MS/.../...,"Phoenix Contact Sensor/Actuator Cable, 5-pin M12, straight plug to free end (length configurable)",https://www.phoenixcontact.com/en-us/products/sensoractuator-cable-sac-5p-m12ms-1697098,221-413 (lever splice),"WAGO 221-413 Splicing Connector, 3-conductor LEVER-NUTS®",https://www.wago.com/us/lp-221,Select exact M12 cordset part per pin count and length; PTIO terminal blocks are another Phoenix option for panel wiring.,21
6,Banner Engineering,,"TL50 tower light or K50 indicator (24 V), PNP input",TL50RYGCQ (96136),"Banner TL50 Core 50 mm Tower Light, PNP input, 3-color (Red/Yellow/Green), 4-pin M12 QD",https://www.bannerengineering.com/us/en/products/part.96136.html,,,,TL50 series supports PNP/NPN; choose segment count and colors as needed. TL50 datasheet family covers options.,1
7,Bud Industries,,NEMA/IP-rated enclosure + DIN rail + panel hardware,PN-1327-MB,Bud Industries PN-1327-MB Polycarbonate NEMA 4X Enclosure with Mounting Bosses,https://us.rs-online.com/product/bud-industries/pn-1327-mb/70148148/,,,,Representative NEMA 4X polycarbonate enclosure; select exact size based on panel layout.,1
8,WAGO,Phoenix Contact,"24 VDC DIN PSU (e.g., 3–5 A), electronic protection preferred",2787-2144,"WAGO Pro 2 Power Supply, 24 VDC, 5 A (1-phase)",https://www.wago.com/us/power-supplies-ups-and-electronic-circuit-breakers/power-supply/p/2787-2144,2866763,"Phoenix Contact QUINT-PS/1AC/24DC/10, 24 VDC, 10 A",https://www.phoenixcontact.com/en-us/products/power-supply-quint-ps1ac24dc10-2866763,Both are high-reliability DIN PSUs; match current to load. QUINT provides 10 A headroom; Pro 2 offers TopBoost/PowerBoost features.,1
9,Phoenix Contact,,VPLCNEXT CONTROL 3000 (1738454),1738454,Phoenix Contact VPLCNEXT CONTROL 3000 Virtual Controller License,https://www.phoenixcontact.com/en-us/products/controller-vplcnext-control-3000-1738454,,,,OCI-compliant virtual PLC runtime.,1
